[2024-10-28T00:26:56] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.24, pressure_hPa:1010.25, humidity_%:36.84
[2024-10-28T00:27:40] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.18, humidity_%:37.11
[2024-10-28T00:28:24] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.29, humidity_%:37.36
[2024-10-28T00:29:08] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.22, pressure_hPa:1010.22, humidity_%:37.22
[2024-10-28T00:29:52] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.26, humidity_%:36.79
[2024-10-28T00:30:36] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.26, humidity_%:36.93
[2024-10-28T00:31:20] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.22, pressure_hPa:1010.22, humidity_%:36.67
[2024-10-28T00:32:05] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.34, humidity_%:36.79
[2024-10-28T00:32:49] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.26, humidity_%:37.26
[2024-10-28T00:33:33] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.21, pressure_hPa:1010.21, humidity_%:36.91
[2024-10-28T00:34:17] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.23, pressure_hPa:1010.20, humidity_%:37.07
[2024-10-28T00:35:01] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.22, pressure_hPa:1010.27, humidity_%:37.18
[2024-10-28T00:35:45] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.21, pressure_hPa:1010.21, humidity_%:36.98
[2024-10-28T00:36:29] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.20, pressure_hPa:1010.16, humidity_%:37.30
[2024-10-28T00:37:13] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.21, pressure_hPa:1010.25, humidity_%:37.46
