[2024-10-26T23:00:22] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.63, pressure_hPa:1015.53, humidity_%:30.95
[2024-10-26T23:00:45] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.64, pressure_hPa:1015.57, humidity_%:31.46
[2024-10-26T23:01:07] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.63, pressure_hPa:1015.58, humidity_%:30.73
[2024-10-26T23:01:32] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.63, pressure_hPa:1015.61, humidity_%:30.94
[2024-10-26T23:01:56] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.63, pressure_hPa:1015.63, humidity_%:31.57
[2024-10-26T23:02:19] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.62, pressure_hPa:1015.59, humidity_%:31.01
[2024-10-26T23:02:43] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.63, pressure_hPa:1015.68, humidity_%:31.18
[2024-10-26T23:03:14] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.61, pressure_hPa:1015.57, humidity_%:31.33
[2024-10-26T23:03:36] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.62, pressure_hPa:1015.67, humidity_%:31.71
[2024-10-26T23:04:00] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.61, pressure_hPa:1015.60, humidity_%:31.40
[2024-10-26T23:04:22] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.61, pressure_hPa:1015.60, humidity_%:31.05
[2024-10-26T23:04:45] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.59, pressure_hPa:1015.51, humidity_%:31.27
[2024-10-26T23:05:09] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.59, pressure_hPa:1015.62, humidity_%:31.08
[2024-10-26T23:05:32] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.60, pressure_hPa:1015.67, humidity_%:31.06
[2024-10-26T23:05:54] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.60, pressure_hPa:1015.66, humidity_%:31.04
[2024-10-26T23:06:17] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.60, pressure_hPa:1015.52, humidity_%:31.19
[2024-10-26T23:06:41] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.60, pressure_hPa:1015.58, humidity_%:31.06
[2024-10-26T23:07:05] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.57, pressure_hPa:1015.59, humidity_%:30.88
[2024-10-26T23:07:29] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.58, pressure_hPa:1015.57, humidity_%:31.08
[2024-10-26T23:07:53] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.58, pressure_hPa:1015.54, humidity_%:30.69
[2024-10-26T23:08:17] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.57, pressure_hPa:1015.56, humidity_%:31.14
[2024-10-26T23:08:41] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.55, pressure_hPa:1015.54, humidity_%:31.10
[2024-10-26T23:09:03] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.56, pressure_hPa:1015.63, humidity_%:30.99
[2024-10-26T23:09:27] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.56, pressure_hPa:1015.63, humidity_%:31.10
[2024-10-26T23:09:52] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.56, pressure_hPa:1015.63, humidity_%:31.37
[2024-10-26T23:10:17] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.55, pressure_hPa:1015.61, humidity_%:31.17
[2024-10-26T23:10:42] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.54, pressure_hPa:1015.65, humidity_%:31.19
[2024-10-26T23:11:07] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:25.54, pressure_hPa:1015.66, humidity_%:30.57
