[2024-10-25T23:00:18] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.94, pressure_hPa:1012.44, humidity_%:37.59
[2024-10-25T23:00:45] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.94, pressure_hPa:1012.35, humidity_%:37.23
[2024-10-25T23:01:12] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.93, pressure_hPa:1012.34, humidity_%:37.85
[2024-10-25T23:01:39] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.40, humidity_%:37.46
[2024-10-25T23:02:08] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.93, pressure_hPa:1012.38, humidity_%:37.48
[2024-10-25T23:02:36] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.39, humidity_%:37.77
[2024-10-25T23:03:05] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.40, humidity_%:37.65
[2024-10-25T23:03:33] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.35, humidity_%:37.51
[2024-10-25T23:04:34] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.91, pressure_hPa:1012.33, humidity_%:37.70
[2024-10-25T23:05:01] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.37, humidity_%:36.95
[2024-10-25T23:05:29] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.39, humidity_%:37.65
[2024-10-25T23:05:55] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.92, pressure_hPa:1012.46, humidity_%:37.33
[2024-10-25T23:06:23] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.90, pressure_hPa:1012.43, humidity_%:37.03
[2024-10-25T23:06:51] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.91, pressure_hPa:1012.41, humidity_%:37.60
[2024-10-25T23:07:19] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.90, pressure_hPa:1012.41, humidity_%:37.36
[2024-10-25T23:07:45] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.90, pressure_hPa:1012.32, humidity_%:37.93
[2024-10-25T23:08:13] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.91, pressure_hPa:1012.36, humidity_%:37.65
[2024-10-25T23:08:39] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.89, pressure_hPa:1012.36, humidity_%:37.67
[2024-10-25T23:09:07] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.90, pressure_hPa:1012.40, humidity_%:37.76
[2024-10-25T23:09:36] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.89, pressure_hPa:1012.33, humidity_%:37.48
[2024-10-25T23:10:03] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.89, pressure_hPa:1012.36, humidity_%:37.75
[2024-10-25T23:10:31] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.89, pressure_hPa:1012.35, humidity_%:37.44
[2024-10-25T23:11:34] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.88, pressure_hPa:1012.29, humidity_%:38.04
[2024-10-25T23:12:02] ID:Device5, maxAcceleration_m/s2:2.00, rmsAcceleration_m/s2:2.00, temperature_C:26.89, pressure_hPa:1012.41, humidity_%:37.38
